Normais Climatológicas do Brasil 1961-1990
Pressão Atmosférica ao Nível do Barômetro (hPa)
Código;Nome da Estação;UF;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
83907;São Luiz Gonzaga;RS;980,2;983,0;984,4;986,3;987,8;989,0;989,3;987,9;987,3;985,1;983,3;982,0;985,5
83948;Torres;RS;1008,6;1009,3;1010,7;1012,7;1013,9;1014,9;1015,9;1015,0;1014,5;1012,3;1009,9;1008,6;1012,2
83927;Uruguaiana;RS;1002,0;1003,1;1005,1;1007,3;1008,9;1009,4;1009,7;1009,5;1008,2;1006,0;1003,9;1002,5;1006,3
83887;Campos Novos;SC;907,1;908,1;908,8;910,3;911,0;911,3;912,0;911,5;910,9;909,1;907,6;907,2;909,6
83883;Chapecó;SC;935,0;936,0;936,4;938,2;939,0;940,4;940,7;939,7;939,1;937,1;935,3;934,6;937,6
83897;Florianópolis;SC;1010,5;1011,1;1012,4;1014,5;1015,7;1017,0;1018,1;1017,3;1016,7;1014,6;1012,1;1010,9;1014,2
83872;Indaial;SC;1004,1;1004,5;1005,5;1007,7;1008,5;1010,0;1011,3;1010,3;1010,3;1007,8;1005,5;1004,2;1007,5
83865;Irineópolis ;SC;925,8;926,5;928,3;929,3;931,1;931,5;932,5;931,1;929,7;928,2;926,6;926,1;928,9
83891;Lages;SC;908,8;909,5;910,5;911,9;912,8;913,2;914,1;913,2;912,3;910,6;909,2;908,7;911,2
83924;Laguna;SC;1006,8;1007,4;1008,6;1010,9;1012,8;1013,3;1014,4;1013,2;1012,7;1010,9;1008,4;1007,4;1010,6
83864;Porto União;SC;924,3;925,0;925,8;927,6;928,4;929,4;930,3;929,0;928,4;926,3;925,2;923,9;927,0
83874;São Francisco do Sul;SC;1008,8;1010,5;1010,7;1013,3;1014,9;1015,5;1017,2;1015,9;1015,8;1013,6;-;-;-
83920;São Joaquim;SC;861,8;862,8;863,0;863,8;863,8;864,0;864,7;864,1;864,0;862,6;861,5;861,0;863,1
83096;Aracaju;SE;1011,8;1011,8;1011,6;1011,9;1013,3;1015,2;1016,2;1016,1;1015,5;1013,5;1012,1;1011,7;1013,4
83195;Itabaianinha;SE;987,4;987,4;987,7;988,1;989,4;991,6;992,4;992,1;991,4;989,5;987,7;987,5;989,4
83672;Araçatuba;SP;965,0;965,3;966,3;967,7;970,0;971,2;972,0;970,0;968,4;966,7;965,2;964,9;967,7
83773;Avaré;SP;923,5;924,0;924,3;925,8;927,0;928,0;929,0;927,6;926,8;924,9;923,2;923,8;925,7
83625;Barretos;SP;947,1;947,7;948,9;949,9;952,4;953,6;954,4;952,6;951,2;949,3;947,9;947,7;950,2
83729;Campinas;SP;937,4;937,9;938,7;940,0;941,7;943,0;943,7;942,4;941,2;939,5;938,1;937,6;940,1
83714;Campos do Jordão;SP;844,0;844,6;845,1;845,1;846,7;847,5;848,3;847,5;845,3;845,0;843,7;843,6;845,5
83676;Catanduva;SP;950,2;950,8;951,4;952,5;954,6;955,9;956,8;955,2;953,6;951,7;950,3;949,9;952,7
83760;Coop. Agrícola de Cotia;SP;918,1;918,8;920,5;921,3;923,2;923,9;924,8;923,5;921,8;920,5;918,9;918,2;921,1
83630;Franca;SP;899,8;900,5;901,1;902,1;903,5;904,8;905,3;904,0;902,7;901,1;899,9;899,6;902,0
83821;Iguape;SP;1010,2;1011,1;1012,3;1014,3;1015,9;1017,8;1018,7;1017,5;1016,6;1014,2;1012,0;1010,6;1014,3
83774;Itapeva;SP;934,8;935,4;935,8;937,6;938,8;940,2;940,9;939,7;938,5;936,5;935,0;934,3;937,3
83678;Jaboticabal;SP;940,5;941,4;941,4;942,9;944,4;946,2;946,5;945,5;943,7;942,0;940,8;940,4;943,0
83674;Lins;SP;958,0;958,3;959,6;960,9;963,1;965,0;964,9;963,4;961,9;960,2;959,0;958,2;961,0
83847;Paraibuna;SP;923,8;924,3;925,7;926,9;929,1;930,0;931,0;929,5;927,7;926,4;924,6;924,2;926,9
83716;Presidente Prudente;SP;960,6;961,1;962,0;963,5;965,3;966,6;967,0;965,7;964,4;962,8;960,9;960,3;963,4
83782;Santos;SP;1009,7;1010,3;1011,4;1013,4;1015,2;1017,0;1018,3;1016,9;1015,7;1013,5;1011,4;1009,9;1013,6
83726;São Carlos;SP;916,2;916,9;917,2;918,4;920,0;921,0;921,9;920,6;919,1;917,4;916,2;915,8;918,4
83809;São José dos Campos;SP;939,1;939,4;940,6;941,7;943,6;944,7;946,0;944,3;942,9;941,4;939,6;939,3;941,9
83781;São Paulo (Mir. de Santana);SP;923,5;924,0;924,9;926,2;927,6;928,8;929,6;928,3;927,2;925,4;923,8;923,2;926,0
83669;São Simão;SP;942,2;942,7;942,6;944,4;945,8;947,9;947,8;946,8;945,4;943,3;942,4;941,7;944,4
83851;Sorocaba;SP;938,3;939,0;939,6;940,6;941,7;943,8;944,8;943,4;942,0;939,7;938,7;937,9;940,8
83784;Taubaté;SP;944,8;945,3;946,4;947,9;950,4;951,4;952,6;950,8;949,1;947,2;945,4;944,8;948,0
83857;Tremembé;SP;947,6;948,3;949,4;951,0;952,3;954,2;954,8;953,8;952,2;950,5;948,8;948,1;950,9
83786;Ubatuba;SP;1009,3;1010,0;1010,7;1012,3;1013,5;1015,3;1016,6;1015,6;1014,6;1012,7;1010,6;1009,5;1012,6
83629;Usina Junqueira;SP;949,2;949,8;951,1;951,8;953,9;955,0;955,8;954,0;952,0;950,7;949,3;949,1;951,8
83623;Votuporanga;SP;952,6;953,1;953,2;954,4;956,1;958,3;958,9;957,4;955,9;953,8;952,8;952,0;954,9
83033;Palmas;TO;979,7;979,9;979,9;980,5;981,8;983,2;983,5;982,3;980,7;979,8;979,3;979,4;980,8
83231;Paranã;TO;979,8;979,9;979,8;980,5;981,7;983,3;983,4;982,3;980,7;979,8;979,4;979,4;980,8
82863;Pedro Afonso;TO;989,5;989,7;989,6;989,3;990,5;992,0;992,4;991,2;990,2;989,2;988,7;989,2;990,1
83228;Peixe;TO;983,2;983,2;983,2;983,5;984,5;986,3;986,3;985,1;983,8;983,2;982,9;983,0;984,0
83064;Porto Nacional;TO;984,6;984,8;985,1;985,4;985,9;986,8;987,0;985,8;984,6;984,6;984,3;984,7;985,3
83235;Taguatinga;TO;943,9;944,0;944,1;944,5;945,7;947,2;947,5;946,4;945,0;944,0;943,5;943,6;944,9
